Description,Price,Rating,Review Count,Url
Women's Moab 2 Mid Waterproof Hiking Boot,$72.49,4.7 out of 5 stars,"7,969",https://www.amazon.com/Merrell-Womens-Waterproof-Hiking-Granite/dp/B01HFL883C/ref=sr_1_31?keywords=hiking+shoes&qid=1672289344&sr=8-31
Men's Relment-Pelmo Hiking Boot,$71.99,4.5 out of 5 stars,"17,248",https://www.amazon.com/Skechers-Mens-RELMENT-PELMO-Hiking-Boot/dp/B06XR3Q2V4/ref=sr_1_32?keywords=hiking+shoes&qid=1672289344&sr=8-32
Men's Terrex Ax3 Sneaker,$55.26,4.5 out of 5 stars,"1,126",https://www.amazon.com/adidas-outdoor-Terrex-Hiking-Black/dp/B07FBJ9P99/ref=sr_1_33?keywords=hiking+shoes&qid=1672289344&sr=8-33
Men's Crestwood Hiking Shoe,$69.95,4.6 out of 5 stars,"4,853",https://www.amazon.com/Columbia-Crestwood-Hiking-Brown-Heatwave/dp/B01MUA6SOM/ref=sr_1_34?keywords=hiking+shoes&qid=1672289344&sr=8-34
Men's Fairbanks Low Sneaker,$89.95,4.5 out of 5 stars,"1,722",https://www.amazon.com/Columbia-Fairbanks-Sneaker-Graphite-Black/dp/B09FFNBYZ3/ref=sr_1_35?keywords=hiking+shoes&qid=1672289344&sr=8-35
"Women's Newton Ridge Plus Waterproof Amped, Elk/Mountain Red, 9",$89.47,4.7 out of 5 stars,"1,025",https://www.amazon.com/Columbia-Womens-Newton-Mountain-Regular/dp/B01HEH342C/ref=sr_1_36?keywords=hiking+shoes&qid=1672289344&sr=8-36
Terrex Swift R3 Gore-TEX® Hiking Shoes,$96.95,4.4 out of 5 stars,"1,326",https://www.amazon.com/adidas-Terrex-Swift-Black-Solar/dp/B08RK2STFZ/ref=sr_1_37?keywords=hiking+shoes&qid=1672289344&sr=8-37
Men's Buxton Peak Mid Ii Hiking Shoe,$56.33,4.5 out of 5 stars,651,https://www.amazon.com/Columbia-Buxton-Hiking-Cordovan-Black/dp/B096ZCN8H5/ref=sr_1_38?keywords=hiking+shoes&qid=1672289344&sr=8-38
mens Terrex Ax3,$60.35,4.5 out of 5 stars,510,https://www.amazon.com/adidas-Terrex-Hiking-Black-Yellow/dp/B0893M99PB/ref=sr_1_39?keywords=hiking+shoes&qid=1672289344&sr=8-39
Women's Olympus Hiker Multiple Colors | Women's Outdoor | Women's Hiker Boot | Comfortable Hiking Boot,$32.99,4.1 out of 5 stars,544,https://www.amazon.com/BEARPAW-Olympus-Womens-Boot-Taupe/dp/B08585TQCN/ref=sr_1_40?keywords=hiking+shoes&qid=1672289344&sr=8-40
Women's 510 V5 Trail Running Shoe,$49.83,4.4 out of 5 stars,"4,401",https://www.amazon.com/New-Balance-Cushioning-Running-Gunmetal/dp/B07VQXTCW1/ref=sr_1_41?keywords=hiking+shoes&qid=1672289344&sr=8-41
Women's Targhee 3 Mid Height Waterproof Hiking Boot,$79.30,4.5 out of 5 stars,"2,063",https://www.amazon.com/KEEN-Womens-Targhee-Hiking-Atlantic/dp/B07TBSJNL2/ref=sr_1_42?keywords=hiking+shoes&qid=1672289344&sr=8-42
Mens Karakorum Mountaineering/Hiking Boots,$338.95,4.5 out of 5 stars,135,https://www.amazon.com/Sportiva-Karakorum-Hiking-Shoe-Green/dp/B002T3MD56/ref=sr_1_43?keywords=hiking+shoes&qid=1672289344&sr=8-43
"Ravus WP Low Waterproof Hiking Shoes for Men, Lightweight Breathable Outdoor Trekking and Trail Shoes, Sizes 7 to 15, Medium and Extra Wide",$49.98,4.1 out of 5 stars,530,https://www.amazon.com/HI-TEC-Lightweight-Breathable-Outdoor-Trekking/dp/B09RBGD8BF/ref=sr_1_44?keywords=hiking+shoes&qid=1672289344&sr=8-44
Men's Yokota 2 Hiking Shoe,$56.00,4.4 out of 5 stars,"2,724",https://www.amazon.com/Merrell-Yokota-Hiking-Sneakers-Boulder/dp/B07M6CT66R/ref=sr_1_45?keywords=hiking+shoes&qid=1672289344&sr=8-45
Men's X Ultra Pioneer CLIMASALOMON Waterproof Hiking Shoes Climbing,$96.12,4.3 out of 5 stars,565,https://www.amazon.com/Salomon-Pioneer-Climbing-Magnet-Bluesteel/dp/B094R17N2T/ref=sr_1_46?keywords=hiking+shoes&qid=1672289344&sr=8-46
Men's Targhee 3 Mid Height Waterproof Hiking Boot,$69.94,4.4 out of 5 stars,"4,331",https://www.amazon.com/KEEN-Targhee-Hiking-Black-Golden/dp/B07XC9CBJF/ref=sr_1_47?keywords=hiking+shoes&qid=1672289344&sr=8-47
Men's AX2S Hiking Shoes,$69.88,4.6 out of 5 stars,164,https://www.amazon.com/adidas-AX2S-Shoe-Mens-Hiking/dp/B09N4P3JJW/ref=sr_1_48?keywords=hiking+shoes&qid=1672289344&sr=8-48
Women's Relaxed Fit Trego Rocky Mountain Boots,$47.93,4.4 out of 5 stars,"1,293",https://www.amazon.com/Skechers-womens-Hiker-Grey-9/dp/B087Z5JVCS/ref=sr_1_49?keywords=hiking+shoes&qid=1672289344&sr=8-49
Men's Selmen-enago Trail Oxford Hiking Shoe,$34.99,4.2 out of 5 stars,"1,584",https://www.amazon.com/Skechers-SELMEN-ENAGO-Trail-Oxford-Hiking/dp/B07NVCJW7X/ref=sr_1_50?keywords=hiking+shoes&qid=1672289344&sr=8-50
Women's Hiking Water Shoes Quick Dry Outdoor Sport Sneakers,$42.99,4.3 out of 5 stars,"1,683",https://www.amazon.com/MAINCH-Womens-Textile-Outdoor-Sneakers/dp/B08CXGHR9V/ref=sr_1_51?keywords=hiking+shoes&qid=1672289344&sr=8-51
"Men's Moab 2 Vent Hiking Shoe, Walnut, 10 M US",$63.50,4.6 out of 5 stars,931,https://www.amazon.com/Merrell-Mens-Moab-Hiking-Walnut/dp/B01HFPP5C0/ref=sr_1_52?keywords=hiking+shoes&qid=1672289344&sr=8-52
Men's X Ultra Pioneer MID CLIMASALOMON Waterproof Hiking Boots Climbing Shoe,$149.95,4.4 out of 5 stars,460,https://www.amazon.com/Salomon-Pioneer-Climbing-Magnet-Monument/dp/B094R378DT/ref=sr_1_53?keywords=hiking+shoes&qid=1672289344&sr=8-53
Mens Hiking Shoes Low Cut Boots Leather Walking Shoes for Outdoor Trekking Training Casual Work,$67.99,4.2 out of 5 stars,461,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02357423BI2FMQY2VGM4&qualifier=1672289344&id=3019139232996159&widgetName=sp_btf&url=%2FCAMEL-CROWN-Leather-Trekking-Training%2Fdp%2FB092QG538J%2Fref%3Dsr_1_55_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-55-spons%26psc%3D1
Women Leather Ankle Combat Boots Low Heel Lace Up Outdoor Trekking Hiking Work Boots,$69.99,4.7 out of 5 stars,19,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0716748301Z9X8K8YGPT&qualifier=1672289344&id=3019139232996159&widgetName=sp_btf&url=%2FJABASIC-Leather-Combat-Outdoor-Trekking%2Fdp%2FB0BHSZ2LMT%2Fref%3Dsr_1_56_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-56-spons%26psc%3D1
Hiking Shoes Men Breathable Non-Slip Sneakers Lightweight Low Top for Outdoor Trailing Trekking Walking,$58.99,4.2 out of 5 stars,"2,782",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A1028163DIJKZB7ZJ604&qualifier=1672289344&id=3019139232996159&widgetName=sp_btf&url=%2FCAMEL-CROWN-Breathable-Non-Slip-Lightweight%2Fdp%2FB07GWJJ4WH%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-57-spons%26psc%3D1
"Waterproof Hiking Shoes for Men Gusseted Tongue Work Shoes, Size 7.5-14",$49.99,4.4 out of 5 stars,219,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08666182J758O3N4P18Y&qualifier=1672289344&id=3019139232996159&widgetName=sp_btf&url=%2FCC-Los-Waterproof-Hiking-Gusseted-Tongue%2Fdp%2FB0B2ZQLCDT%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-58-spons%26psc%3D1
Men's Terrex Ax3 Hiking Boot,$58.05,4.5 out of 5 stars,"6,520",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0033691U30QAOO2TXBK&qualifier=1672289344&id=3019139232996159&widgetName=sp_btf&url=%2Fadidas-outdoor-Terrex-Hiking-Black%2Fdp%2FB07FBJTW6F%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-59-spons%26psc%3D1
Men's Waterproof Hiking Boots Lightweight Work Boots Military Tactical Boots Durable Combat Boots,$61.99,4.2 out of 5 stars,"5,356",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A072465225SZTE6R2NHQ9&qualifier=1672289344&id=3019139232996159&widgetName=sp_btf&url=%2FFREE-SOLDIER-Waterproof-Lightweight-Military%2Fdp%2FB08CKLJBP2%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-60-spons%26psc%3D1
Women's Minimalist Trail Running Barefoot Shoes | Wide Toe Box | Zero Drop,$41.99,4.4 out of 5 stars,"18,125",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08930376OAMCCDG36H0&qualifier=1672289347&id=5838221915224138&widgetName=sp_atf_next&url=%2FJOOMRA-Barefoot-Athletic-Trekking-Sneakers%2Fdp%2FB087N2GPSP%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289347%26sr%3D8-49-spons%26psc%3D1
Women Hiking Shoes Breathable Mesh Athletic Outdoor Sneakers,$30.09,4.2 out of 5 stars,"4,831",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08129991HI7CS4F1LRXQ&qualifier=1672289347&id=5838221915224138&widgetName=sp_atf_next&url=%2FJabasic-Breathable-Athletic-Outdoor-Sneakers%2Fdp%2FB07H97RJ4X%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289347%26sr%3D8-50-spons%26psc%3D1
Women Leather Ankle Combat Boots Low Heel Lace Up Outdoor Trekking Hiking Work Boots,$69.99,4.7 out of 5 stars,19,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A07146846X0JS7YATVBB&qualifier=1672289347&id=5838221915224138&widgetName=sp_atf_next&url=%2FJABASIC-Leather-Combat-Outdoor-Trekking%2Fdp%2FB0BHSZ4SBD%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289347%26sr%3D8-51-spons%26psc%3D1
Men Hiking Shoes Trail Running Sneakers Ourdoor Walking Trekking Cross Training,$29.99,4.0 out of 5 stars,512,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A064986028PB8KMWHMM6I&qualifier=1672289347&id=5838221915224138&widgetName=sp_atf_next&url=%2FDannto-Hiking-Outdoor-Sneakers-Lightweight%2Fdp%2FB08MT6WYPQ%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289347%26sr%3D8-52-spons%26psc%3D1
Women's Moab 3 Hiking Shoe,$58.99,4.5 out of 5 stars,45,https://www.amazon.com/Merrell-Womens-Moab-Hiking-Smoke/dp/B098KKH8L3/ref=sr_1_53?keywords=hiking+shoes&qid=1672289347&sr=8-53
Mens Excursion Tr15 Trail Running Shoe,$59.95,4.5 out of 5 stars,"1,272",https://www.amazon.com/Saucony-Excursion-Trail-Running-Shadow/dp/B08PDSKGFP/ref=sr_1_54?keywords=hiking+shoes&qid=1672289347&sr=8-54
Terrex Ax4 Shoes,$61.47,4.2 out of 5 stars,135,https://www.amazon.com/adidas-Womens-Terrex-Primegreen-Hiking/dp/B0941W46GV/ref=sr_1_55?keywords=hiking+shoes&qid=1672289347&sr=8-55
Men's Moab Adventure Lace Hiking Shoe,$67.00,4.5 out of 5 stars,"1,757",https://www.amazon.com/Merrell-Mens-Adventure-Hiking-Earth/dp/B01MZ0781Y/ref=sr_1_57?keywords=hiking+shoes&qid=1672289347&sr=8-57
Women's Siren Edge 3 Hiking Shoe,$76.99,4.5 out of 5 stars,"2,517",https://www.amazon.com/Merrell-Siren-Edge-Polar-Wave/dp/B082Y3X4HT/ref=sr_1_58?keywords=hiking+shoes&qid=1672289347&sr=8-58
Women's X Ultra 3 Hiking Shoes Trail Running,$53.64,4.6 out of 5 stars,629,https://www.amazon.com/Salomon-Womens-Hiking-Weather-Cashmere/dp/B07CYYMSYC/ref=sr_1_59?keywords=hiking+shoes&qid=1672289347&sr=8-59
Men's Targhee 2 Mid Height Waterproof Hiking Boot,$88.89,4.4 out of 5 stars,"9,647",https://www.amazon.com/KEEN-Targhee-Hiking-Shiitake-Brindle/dp/B00I4L45TY/ref=sr_1_60?keywords=hiking+shoes&qid=1672289347&sr=8-60
Mountain Extreme Non-Insulated Hiking Boot,$395.96,4.7 out of 5 stars,200,https://www.amazon.com/Kenetrek-Mountain-Extreme-Hunting-Brown/dp/B002OEBR3E/ref=sr_1_61?keywords=hiking+shoes&qid=1672289347&sr=8-61
Men's Moab 3 Mid Waterproof Hiking Boot,$80.84,4.7 out of 5 stars,325,https://www.amazon.com/Merrell-Mens-Waterproof-Hiking-BOULDER/dp/B0987XDQKH/ref=sr_1_62?keywords=hiking+shoes&qid=1672289347&sr=8-62
Terrex AX4,$59.95,4.5 out of 5 stars,8,https://www.amazon.com/adidas-Terrex-AX4-Impact-Orange/dp/B0B5P8ZKX9/ref=sr_1_63?keywords=hiking+shoes&qid=1672289347&sr=8-63
Women’s Mt Maddsen Mid Leather Waterproof Hiking Boot,$89.95,4.5 out of 5 stars,"1,146",https://www.amazon.com/Timberland-Womens-Maddsen-Leather-Waterproof/dp/B07MDLF9RJ/ref=sr_1_64?keywords=hiking+shoes&qid=1672289347&sr=8-64
Men's Peak Seamles Hiker L Hiking Shoe,$81.08,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A06875253UBIAT2CLNYW3&qualifier=1672289347&id=5838221915224138&widgetName=sp_mtf&url=%2FBass-Outdoor-Seamles-Hiker-Hiking%2Fdp%2FB0BMT6V958%2Fref%3Dsr_1_65_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289347%26sr%3D8-65-spons%26psc%3D1
Men's Trek Ultralite Hiker Hiking Shoe,$76.84,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A068382535GZC5Z3EHBC4&qualifier=1672289347&id=5838221915224138&widgetName=sp_mtf&url=%2FBass-Outdoor-Ultralite-Hiker-Hiking%2Fdp%2FB0BMTD7XCD%2Fref%3Dsr_1_66_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289347%26sr%3D8-66-spons%26psc%3D1
Men's Terrex Ax3 Hiking Boot,$61.24,4.5 out of 5 stars,"6,520",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A05829191M6SGJQWAA8IC&qualifier=1672289347&id=5838221915224138&widgetName=sp_mtf&url=%2Fadidas-Terrex-Hiking-Black-Yellow%2Fdp%2FB0893LC5ZB%2Fref%3Dsr_1_67_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289347%26sr%3D8-67-spons%26psc%3D1
Men's Trail Running Shoes Waterproof Hiking Shoes Cushioning Outdoor Walking Sneakers All Terrain Trekking Rugged Trail,$37.99,4.1 out of 5 stars,52,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A056246223TIUX46WX6AV&qualifier=1672289347&id=5838221915224138&widgetName=sp_mtf&url=%2FRunning-Waterproof-Cushioning-Sneakers-Trekking%2Fdp%2FB0BF9LYQG4%2Fref%3Dsr_1_68_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289347%26sr%3D8-68-spons%26psc%3D1
Men's Core Alverstone Mid Hiking Boot,$71.99,4.5 out of 5 stars,833,https://www.amazon.com/Merrell-ALVERSTONE-Waterproof-Hiking-Stone/dp/B0002M13X4/ref=sr_1_69?keywords=hiking+shoes&qid=1672289347&sr=8-69
Men's Redmond Iii Waterproof Hiking Shoe,$75.00,4.5 out of 5 stars,765,https://www.amazon.com/Columbia-Redmond-Waterproof-Hiking-Black/dp/B096N5F4PC/ref=sr_1_70?keywords=hiking+shoes&qid=1672289347&sr=8-70
Men's Waterproof Hiking Shoes Leather Low-Top Hiking Shoes for Outdoor Trailing Trekking Camping Walking,$66.99,4.1 out of 5 stars,"1,788",https://www.amazon.com/NORTIV-Waterproof-Lightweight-Trailing-Trekking/dp/B08P6P4MQ2/ref=sr_1_71?keywords=hiking+shoes&qid=1672289347&sr=8-71
Men's Terrex Voyager 21 Travel Hiking Shoe,$50.00,4.2 out of 5 stars,73,https://www.amazon.com/adidas-Terrex-Voyager-Heat-RDY-Shoes/dp/B08RJYMK1T/ref=sr_1_72?keywords=hiking+shoes&qid=1672289347&sr=8-72
